Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.11,0.11,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
"Caller","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,0.11,0.11,0.16,0.16,"ProfilingTest.dll",
"Root","ProfilingTest.ExampleClass..ctor()","ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Caller","ProfilingTest.ExampleClass..ctor()","ProfilingTest.ExampleTests..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleClass..ctor()","System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"Root","ProfilingTest.ExampleClass.Delay100ms()","ProfilingTest.ExampleClass.Delay100ms()",1,99.68,81.79,152.29,124.96,"ProfilingTest.dll",
"Caller","ProfilingTest.ExampleClass.Delay100ms()","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,99.68,81.79,152.29,124.96,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleClass.Delay100ms()","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","569,526",17.89,17.89,0.00,0.00,"System.Runtime.Extensions.dll",
"Callee","ProfilingTest.ExampleClass.Delay100ms()","System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
"Root","ProfilingTest.ExampleTests..ctor()","ProfilingTest.ExampleTests..ctor()",1,0.16,0.16,0.24,0.24,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests..ctor()","ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests..ctor()","System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"Root","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,99.84,0.00,152.54,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.11,0.11,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","ProfilingTest.ExampleClass.Delay100ms()",1,99.68,81.79,152.29,124.96,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()",2,0.01,0.01,0.00,0.00,"System.Runtime.Extensions.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.01,0.01,"System.Runtime.Extensions.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","System.Diagnostics.Stopwatch.Stop()",1,0.01,0.01,0.02,0.02,"System.Runtime.Extensions.dll",
"Callee","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()","System.String.Format(string,object)",1,0.04,0.04,0.06,0.06,"System.Runtime.dll",
"Root","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","569,528",17.90,17.90,0.00,0.00,"System.Runtime.Extensions.dll",
"Caller","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","ProfilingTest.ExampleClass.Delay100ms()","569,526",17.89,17.89,0.00,0.00,"ProfilingTest.dll",
"Caller","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",2,0.01,0.01,0.00,0.00,"ProfilingTest.dll",
"Root","System.Diagnostics.Stopwatch.StartNew()","System.Diagnostics.Stopwatch.StartNew()",2,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
"Caller","System.Diagnostics.Stopwatch.StartNew()","ProfilingTest.ExampleClass.Delay100ms()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Caller","System.Diagnostics.Stopwatch.StartNew()","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,0.00,0.00,0.01,0.01,"ProfilingTest.dll",
"Root","System.Diagnostics.Stopwatch.Stop()","System.Diagnostics.Stopwatch.Stop()",1,0.01,0.01,0.02,0.02,"System.Runtime.Extensions.dll",
"Caller","System.Diagnostics.Stopwatch.Stop()","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,0.01,0.01,0.02,0.02,"ProfilingTest.dll",
"Root","System.Object..ctor()","System.Object..ctor()",2,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"Caller","System.Object..ctor()","ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Caller","System.Object..ctor()","ProfilingTest.ExampleTests..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Root","System.String.Format(string,object)","System.String.Format(string,object)",1,0.04,0.04,0.06,0.06,"System.Runtime.dll",
"Caller","System.String.Format(string,object)","ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,0.04,0.04,0.06,0.06,"ProfilingTest.dll",
