Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"testhost.exe",0,100.00,0.00,0.00,0.00,"",
1,"ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,99.84,0.00,152.54,0.00,"ProfilingTest.dll",
2,"ProfilingTest.ExampleClass.Delay100ms()",1,99.68,81.79,152.29,124.96,"ProfilingTest.dll",
3,"System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","569,526",17.89,17.89,0.00,0.00,"System.Runtime.Extensions.dll",
3,"System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
2,"Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.11,0.11,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
2,"System.String.Format(string,object)",1,0.04,0.04,0.06,0.06,"System.Runtime.dll",
2,"System.Diagnostics.Stopwatch.Stop()",1,0.01,0.01,0.02,0.02,"System.Runtime.Extensions.dll",
2,"System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()",2,0.01,0.01,0.00,0.00,"System.Runtime.Extensions.dll",
2,"System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.01,0.01,"System.Runtime.Extensions.dll",
1,"ProfilingTest.ExampleTests..ctor()",1,0.16,0.16,0.24,0.24,"ProfilingTest.dll",
2,"ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
3,"System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
2,"System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
