Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"ProfilingTest.ExampleClass.Delay100ms()",1,99.68,81.79,152.29,124.96,"ProfilingTest.dll",
"System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()","569,528",17.90,17.90,0.00,0.00,"System.Runtime.Extensions.dll",
"ProfilingTest.ExampleTests..ctor()",1,0.16,0.16,0.24,0.24,"ProfilingTest.dll",
"Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.11,0.11,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
"System.String.Format(string,object)",1,0.04,0.04,0.06,0.06,"System.Runtime.dll",
"System.Diagnostics.Stopwatch.Stop()",1,0.01,0.01,0.02,0.02,"System.Runtime.Extensions.dll",
"System.Diagnostics.Stopwatch.StartNew()",2,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
"ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"System.Object..ctor()",2,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"ProfilingTest.ExampleTests.Delay100ms_DelaysCorrectTime()",1,99.84,0.00,152.54,0.00,"ProfilingTest.dll",
