Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"testhost.exe",0,100.00,0.00,0.00,0.00,"",
1,"ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()",1,99.74,0.00,101.69,0.00,"ProfilingTest.dll",
2,"ProfilingTest.ExampleClass.Sleep100ms()",1,99.50,0.12,101.45,0.12,"ProfilingTest.dll",
3,"System.Threading.Thread.Sleep(int32)",1,99.38,99.38,101.33,101.33,"System.Threading.Thread.dll",
2,"Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.16,0.16,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
2,"System.String.Format(string,object)",1,0.05,0.05,0.06,0.06,"System.Runtime.dll",
2,"System.Diagnostics.Stopwatch.Stop()",1,0.01,0.01,0.01,0.01,"System.Runtime.Extensions.dll",
2,"System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()",2,0.01,0.01,0.00,0.00,"System.Runtime.Extensions.dll",
2,"System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
1,"ProfilingTest.ExampleTests..ctor()",1,0.26,0.26,0.27,0.26,"ProfilingTest.dll",
2,"ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
3,"System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
2,"System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
