Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.16,0.16,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
"Caller","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()",1,0.16,0.16,0.16,0.16,"ProfilingTest.dll",
"Root","ProfilingTest.ExampleClass..ctor()","ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Caller","ProfilingTest.ExampleClass..ctor()","ProfilingTest.ExampleTests..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleClass..ctor()","System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"Root","ProfilingTest.ExampleClass.Sleep100ms()","ProfilingTest.ExampleClass.Sleep100ms()",1,99.50,0.12,101.45,0.12,"ProfilingTest.dll",
"Caller","ProfilingTest.ExampleClass.Sleep100ms()","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()",1,99.50,0.12,101.45,0.12,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleClass.Sleep100ms()","System.Threading.Thread.Sleep(int32)",1,99.38,99.38,101.33,101.33,"System.Threading.Thread.dll",
"Root","ProfilingTest.ExampleTests..ctor()","ProfilingTest.ExampleTests..ctor()",1,0.26,0.26,0.27,0.26,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests..ctor()","ProfilingTest.ExampleClass..ctor()",1,0.00,0.00,0.00,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests..ctor()","System.Object..ctor()",1,0.00,0.00,0.00,0.00,"System.Runtime.dll",
"Root","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()",1,99.74,0.00,101.69,0.00,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()","Microsoft.VisualStudio.TestTools.UnitTesting.Assert.IsTrue(bool,string)",1,0.16,0.16,0.16,0.16,"Microsoft.VisualStudio.TestPlatform.TestFramework.dll",
"Callee","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()","ProfilingTest.ExampleClass.Sleep100ms()",1,99.50,0.12,101.45,0.12,"ProfilingTest.dll",
"Callee","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()","System.Diagnostics.Stopwatch.get_ElapsedMilliseconds()",2,0.01,0.01,0.00,0.00,"System.Runtime.Extensions.dll",
"Callee","ProfilingTest.ExampleTests.Sleep100ms_SleepsAtLeast100Ms()","System.Diagnostics.Stopwatch.StartNew()",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
